country,region,crop,year,window,season_days,rain_sum,rain_mean,dry_days_1mm,dry_days_2mm,max_dry_spell_1mm,dry_spell_events_7d,dry_spell_events_14d,heavy_rain_days_10,heavy_rain_days_20,heavy_rain_days_25,heavy_rain_days_50,max_1day_rain,max_3day_rain,max_7day_rain,wet_days_1mm,season_tmax_mean,season_tmin_mean,season_tmean_mean,growing_degree_days_base5,heat_days_30,heat_days_35,heat_days_40,max_consecutive_heat_days_30,max_consecutive_heat_days_35,heatwave_events_3d_30,heatwave_events_3d_35,heat_degree_days_30,heat_degree_days_35,hot_dry_days_30_1mm,frost_days_0,cold_days_5,min_tmin,frost_events_2d,radiation_sum,radiation_mean,rain_sum_early,heat_days_35_early,frost_days_0_early,radiation_sum_early,max_3day_rain_early,rain_sum_mid,heat_days_35_mid,frost_days_0_mid,radiation_sum_mid,max_3day_rain_mid,rain_sum_late,heat_days_35_late,frost_days_0_late,radiation_sum_late,max_3day_rain_late,lat,lon,yield_t_ha,trend_yield_t_ha,trend_residual_t_ha,trend_residual_z,is_low_yield_anomaly
United States,Colorado,Barley,1990,spring,183.0,301.59,1.648,105.0,128.0,13.0,7.0,0.0,2.0,0.0,0.0,0.0,10.7,21.87,42.74,78.0,19.712,3.611,11.661,1301.845,5.0,0.0,0.0,3.0,0.0,1.0,0.0,4.32,0.0,5.0,54.0,94.0,-9.91,5.0,3943.75,21.551,96.29,0.0,51.0,1257.22,20.9,101.38,0.0,3.0,1505.29,21.87,103.92,0.0,0.0,1181.24,15.82,39.0,-105.5,4.3041,4.9403294294294255,-0.6362294294294255,-1.1337152209336827,True
United States,Colorado,Oats,1990,spring,183.0,301.59,1.648,105.0,128.0,13.0,7.0,0.0,2.0,0.0,0.0,0.0,10.7,21.87,42.74,78.0,19.712,3.611,11.661,1301.845,5.0,0.0,0.0,3.0,0.0,1.0,0.0,4.32,0.0,5.0,54.0,94.0,-9.91,5.0,3943.75,21.551,96.29,0.0,51.0,1257.22,20.9,101.38,0.0,3.0,1505.29,21.87,103.92,0.0,0.0,1181.24,15.82,39.0,-105.5,1.7934,2.0998372413793227,-0.3064372413793226,-1.1464208408048637,True
United States,Montana,Oats,1990,spring,183.0,282.34,1.543,117.0,143.0,27.0,4.0,1.0,5.0,0.0,0.0,0.0,19.62,33.88,44.03,66.0,20.928,6.794,13.861,1688.17,16.0,1.0,0.0,4.0,1.0,1.0,0.0,31.08,0.49,12.0,28.0,70.0,-8.4,6.0,3937.42,21.516,139.06,0.0,28.0,1186.2,33.88,71.48,1.0,0.0,1520.08,14.86,71.8,0.0,0.0,1231.14,32.65,47.0,-110.0,1.4347,1.9463192192192196,-0.5116192192192195,-1.8612439517806318,True
United States,Colorado,Barley,1991,spring,183.0,307.78,1.682,95.0,127.0,14.0,5.0,1.0,2.0,0.0,0.0,0.0,14.0,26.75,45.55,88.0,18.768,3.17,10.969,1219.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,94.0,-9.88,5.0,3913.54,21.385,83.3,0.0,44.0,1325.57,14.32,129.48,0.0,1.0,1387.43,26.75,95.0,0.0,6.0,1200.54,20.9,39.0,-105.5,4.3041,5.016868065208058,-0.7127680652080581,-1.2701015815104855,True
United States,Texas,Barley,1991,spring,183.0,556.07,3.039,96.0,113.0,9.0,4.0,0.0,16.0,3.0,3.0,0.0,29.91,48.2,81.41,87.0,31.497,19.121,25.309,3716.485,121.0,38.0,0.0,40.0,8.0,6.0,6.0,448.21,42.95,64.0,0.0,0.0,5.13,0.0,3914.8,21.392,188.41,1.0,0.0,1264.34,47.57,186.78,19.0,0.0,1494.48,48.2,180.88,18.0,0.0,1155.98,26.1,31.0,-99.0,1.7216,2.0867878787878986,-0.3651878787878986,-1.1631674506228415,True
United States,Iowa,Oats,1991,spring,183.0,689.66,3.769,104.0,121.0,13.0,4.0,0.0,25.0,9.0,5.0,0.0,34.18,53.83,94.28,79.0,24.373,13.187,18.78,2522.835,26.0,0.0,0.0,7.0,0.0,4.0,0.0,40.42,0.0,18.0,4.0,32.0,-3.43,1.0,3510.45,19.183,362.85,0.0,2.0,1014.66,53.83,157.3,0.0,0.0,1407.78,46.75,169.51,0.0,2.0,1088.01,52.77,42.0,-93.5,1.7934,2.1940560145860033,-0.4006560145860032,-1.3467014601308458,True
United States,Minnesota,Oats,1991,spring,183.0,668.22,3.651,92.0,110.0,7.0,2.0,0.0,23.0,4.0,2.0,0.0,37.11,63.91,85.82,91.0,21.297,10.407,15.852,2023.02,10.0,0.0,0.0,6.0,0.0,2.0,0.0,11.91,0.0,5.0,17.0,44.0,-5.15,4.0,3373.14,18.432,244.96,0.0,16.0,1048.94,51.92,247.85,0.0,0.0,1287.23,32.5,175.41,0.0,1.0,1036.97,63.91,46.0,-94.0,1.4347,1.9859069412269363,-0.5512069412269363,-1.8071248688832653,True
United States,Illinois,Wheat,1991,winter,303.0,836.39,2.76,204.0,225.0,16.0,11.0,3.0,26.0,10.0,6.0,0.0,41.53,75.67,107.81,99.0,14.511,3.511,9.011,2052.46,12.0,1.0,0.0,6.0,1.0,1.0,0.0,24.31,0.7,9.0,121.0,172.0,-24.97,11.0,3971.96,13.109,297.38,1.0,28.0,1135.38,75.67,247.11,0.0,87.0,837.27,64.78,291.9,0.0,6.0,1999.31,62.33,40.0,-89.0,2.152,3.0019648348348085,-0.8499648348348083,-1.9898182553571984,True
United States,Washington,Wheat,1991,winter,303.0,1009.41,3.331,138.0,183.0,15.0,5.0,3.0,30.0,3.0,2.0,0.0,37.96,79.14,112.25,165.0,7.948,-1.684,3.132,645.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,250.0,-30.73,16.0,3336.81,11.013,430.6,0.0,49.0,933.16,79.14,337.62,0.0,97.0,657.49,41.01,241.19,0.0,36.0,1746.16,32.17,47.4,-120.7,3.0868,3.8926784641784575,-0.8058784641784573,-1.5397026707153056,True
United States,Colorado,Barley,1992,spring,183.0,259.56,1.418,110.0,142.0,19.0,7.0,1.0,1.0,1.0,1.0,0.0,39.39,50.55,54.13,73.0,19.176,3.316,11.246,1179.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,115.0,-5.86,6.0,3858.64,21.085,62.91,0.0,32.0,1313.23,15.32,94.16,0.0,2.0,1362.16,12.43,102.49,0.0,5.0,1183.25,50.55,39.0,-105.5,4.3579,5.093406700986691,-0.7355067009866909,-1.310620199941296,True
United States,Washington,Barley,1992,spring,183.0,280.72,1.534,125.0,142.0,16.0,8.0,2.0,6.0,1.0,1.0,0.0,29.56,39.0,41.16,58.0,19.407,6.625,13.016,1497.985,10.0,0.0,0.0,4.0,0.0,1.0,0.0,11.87,0.0,10.0,19.0,62.0,-4.17,5.0,3573.17,19.526,95.89,0.0,18.0,1149.28,27.73,111.93,0.0,0.0,1323.85,39.0,72.9,0.0,1.0,1100.04,24.25,47.4,-120.7,2.421,3.2568276319176324,-0.8358276319176325,-1.3703512839708138,True
United States,Nebraska,Wheat,1992,winter,304.0,411.21,1.353,236.0,253.0,33.0,12.0,4.0,12.0,3.0,0.0,0.0,24.84,40.7,64.29,68.0,14.443,2.0,8.222,1658.655,12.0,0.0,0.0,2.0,0.0,0.0,0.0,19.61,0.0,9.0,150.0,194.0,-19.17,13.0,4293.89,14.125,132.72,0.0,45.0,1234.76,40.7,127.82,0.0,88.0,982.5,37.37,150.67,0.0,17.0,2076.63,25.01,41.5,-99.8,2.0175,2.416996151866151,-0.39949615186615084,-1.0644186343106223,True
United States,Washington,Wheat,1992,winter,304.0,710.2,2.336,175.0,208.0,32.0,8.0,4.0,17.0,2.0,1.0,0.0,29.56,39.0,69.36,129.0,10.348,0.407,5.378,1008.145,4.0,0.0,0.0,4.0,0.0,1.0,0.0,6.06,0.0,4.0,164.0,227.0,-13.65,15.0,3692.06,12.145,265.26,0.0,46.0,1022.73,34.27,280.26,0.0,93.0,654.21,34.32,164.68,0.0,25.0,2015.12,39.0,47.4,-120.7,3.3222,3.901601823251818,-0.5794018232518181,-1.1069988519765057,True
United States,Colorado,Barley,1993,spring,183.0,238.45,1.303,111.0,140.0,14.0,4.0,1.0,1.0,0.0,0.0,0.0,12.43,15.66,20.49,72.0,18.454,2.485,10.47,1127.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,113.0,-9.66,6.0,4033.22,22.039,79.37,0.0,44.0,1328.56,12.75,61.63,0.0,7.0,1556.66,15.66,97.45,0.0,10.0,1148.0,12.68,39.0,-105.5,4.5731,5.169945336765323,-0.5968453367653233,-1.063535591934128,True
United States,Illinois,Oats,1993,spring,183.0,878.39,4.8,81.0,96.0,5.0,0.0,0.0,26.0,9.0,6.0,1.0,56.71,62.97,79.74,102.0,23.074,13.33,18.202,2431.215,11.0,0.0,0.0,2.0,0.0,0.0,0.0,6.9,0.0,3.0,8.0,25.0,-4.51,1.0,3151.9,17.223,181.56,0.0,8.0,1025.25,54.35,365.86,0.0,0.0,1199.25,61.19,330.97,0.0,0.0,927.4,62.97,40.0,-89.0,1.8292,2.2663275203775086,-0.4371275203775087,-1.4088482388057697,True
United States,Iowa,Oats,1993,spring,183.0,1122.72,6.135,69.0,83.0,6.0,0.0,0.0,45.0,13.0,7.0,1.0,73.46,115.75,160.11,114.0,21.576,11.539,16.557,2135.205,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.93,0.0,1.0,8.0,32.0,-6.72,1.0,3099.69,16.938,239.3,0.0,8.0,977.4,35.69,515.09,0.0,0.0,1162.85,115.75,368.33,0.0,0.0,959.44,77.1,42.0,-93.5,1.4347,2.2300232990132898,-0.7953232990132897,-2.67327335436111,True
United States,Kansas,Oats,1993,spring,183.0,823.38,4.499,93.0,107.0,11.0,4.0,0.0,32.0,10.0,5.0,1.0,50.98,79.58,136.46,90.0,25.255,13.858,19.557,2668.645,46.0,5.0,0.0,11.0,3.0,6.0,1.0,107.16,1.63,22.0,4.0,21.0,-2.5,1.0,3532.7,19.304,209.03,0.0,4.0,1024.5,47.71,438.71,1.0,0.0,1365.22,79.58,175.64,4.0,0.0,1142.98,29.41,38.5,-98.0,1.2195,1.734650960960959,-0.515150960960959,-1.739216398702627,True
United States,Nebraska,Oats,1993,spring,183.0,635.72,3.474,98.0,110.0,11.0,2.0,0.0,20.0,3.0,2.0,0.0,30.43,48.65,81.86,85.0,22.915,10.539,16.727,2169.755,20.0,0.0,0.0,3.0,0.0,1.0,0.0,30.91,0.0,10.0,13.0,34.0,-3.93,4.0,3608.74,19.72,153.6,0.0,13.0,1127.83,31.3,358.45,0.0,0.0,1386.47,48.65,123.67,0.0,0.0,1094.44,27.95,41.5,-99.8,1.5423,2.06665645216645,-0.5243564521664501,-1.4913688567257626,True
United States,Iowa,Wheat,1993,winter,303.0,912.92,3.013,187.0,203.0,22.0,7.0,2.0,32.0,6.0,4.0,0.0,40.59,60.09,86.44,116.0,9.866,-0.17,4.848,1376.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,198.0,-27.1,6.0,3671.07,12.116,275.35,0.0,42.0,999.24,60.09,128.15,0.0,101.0,940.63,26.95,509.42,0.0,14.0,1731.2,51.89,42.0,-93.5,1.6813,2.680891674876861,-0.999591674876861,-2.069807296385674,True
United States,Texas,Barley,1994,spring,183.0,399.01,2.18,116.0,132.0,24.0,5.0,2.0,12.0,1.0,0.0,0.0,23.24,61.36,99.38,67.0,32.599,19.151,25.875,3820.115,126.0,67.0,11.0,63.0,18.0,7.0,8.0,667.16,182.99,89.0,0.0,2.0,1.47,0.0,4207.77,22.993,216.71,1.0,0.0,1299.7,61.36,69.03,39.0,0.0,1621.14,14.6,113.27,27.0,0.0,1286.93,20.28,31.0,-99.0,1.7754,2.1288496969697093,-0.3534496969697092,-1.125779925424228,True
United States,Washington,Barley,1994,spring,183.0,208.99,1.142,130.0,146.0,33.0,4.0,3.0,1.0,0.0,0.0,0.0,12.53,20.66,28.99,53.0,19.806,6.202,13.004,1490.325,6.0,0.0,0.0,5.0,0.0,1.0,0.0,16.21,0.0,6.0,20.0,73.0,-3.72,5.0,3503.9,19.147,111.55,0.0,20.0,1021.03,20.66,63.32,0.0,0.0,1379.36,12.83,34.12,0.0,0.0,1103.51,10.44,47.4,-120.7,2.5286,3.2731692277992277,-0.7445692277992277,-1.2207318331638712,True
United States,Washington,Oats,1994,spring,183.0,208.99,1.142,130.0,146.0,33.0,4.0,3.0,1.0,0.0,0.0,0.0,12.53,20.66,28.99,53.0,19.806,6.202,13.004,1490.325,6.0,0.0,0.0,5.0,0.0,1.0,0.0,16.21,0.0,6.0,20.0,73.0,-3.72,5.0,3503.9,19.147,111.55,0.0,20.0,1021.03,20.66,63.32,0.0,0.0,1379.36,12.83,34.12,0.0,0.0,1103.51,10.44,47.4,-120.7,2.0803,2.5619428571428564,-0.4816428571428566,-1.0905750921050479,True
United States,Minnesota,Wheat,1994,spring,183.0,569.46,3.112,107.0,119.0,14.0,4.0,1.0,19.0,4.0,3.0,0.0,28.1,46.96,69.26,76.0,21.143,9.634,15.388,1946.745,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.15,0.0,0.0,23.0,41.0,-7.74,5.0,3419.26,18.684,151.79,0.0,23.0,1206.91,46.96,234.93,0.0,0.0,1277.56,42.38,182.74,0.0,0.0,934.79,41.18,46.0,-94.0,1.883,2.5777693050193022,-0.6947693050193022,-1.5467402503163716,True
United States,Texas,Wheat,1994,winter,303.0,620.34,2.047,213.0,233.0,18.0,13.0,1.0,16.0,3.0,1.0,0.0,27.02,61.36,99.38,90.0,23.626,10.298,16.962,3681.7,80.0,16.0,5.0,22.0,9.0,8.0,2.0,301.44,55.79,59.0,38.0,94.0,-6.59,9.0,5041.49,16.639,203.68,2.0,9.0,1468.77,51.26,153.03,0.0,29.0,1272.72,35.05,263.63,14.0,0.0,2300.0,61.36,31.0,-99.0,1.7485,2.004965555555554,-0.25646555555555395,-1.1083729145009886,True
United States,Minnesota,Oats,1995,spring,183.0,591.87,3.234,98.0,122.0,13.0,3.0,0.0,20.0,5.0,1.0,0.0,34.76,75.21,84.64,85.0,20.296,9.475,14.886,1891.615,7.0,0.0,0.0,5.0,0.0,1.0,0.0,9.31,0.0,5.0,24.0,53.0,-12.98,3.0,3310.28,18.089,138.65,0.0,23.0,1087.37,27.19,204.43,0.0,0.0,1278.82,49.75,248.79,0.0,1.0,944.09,75.21,46.0,-94.0,1.7216,2.0585443157443137,-0.3369443157443137,-1.1046676064257241,True
United States,South Dakota,Oats,1995,spring,183.0,481.9,2.633,110.0,132.0,10.0,5.0,0.0,17.0,2.0,0.0,0.0,21.1,45.9,63.47,73.0,23.309,10.67,16.989,2244.08,47.0,11.0,0.0,8.0,2.0,8.0,0.0,161.2,19.45,33.0,20.0,45.0,-7.83,5.0,3687.83,20.152,226.82,0.0,19.0,1075.37,44.48,168.36,4.0,0.0,1471.61,45.9,86.72,7.0,1.0,1140.85,23.1,44.5,-100.0,1.6499,2.0826472114972034,-0.4327472114972035,-1.4758978139228536,True
United States,Kansas,Wheat,1995,winter,303.0,672.2,2.218,217.0,236.0,23.0,13.0,4.0,22.0,6.0,4.0,0.0,45.98,59.7,109.53,86.0,16.524,4.304,10.414,2109.035,19.0,1.0,0.0,8.0,1.0,2.0,0.0,36.23,0.27,15.0,107.0,158.0,-14.05,11.0,4085.47,13.483,145.01,1.0,20.0,1234.19,29.9,70.53,0.0,79.0,1009.84,18.06,456.66,0.0,8.0,1841.44,59.7,38.5,-98.0,1.7485,2.4706704633204666,-0.7221704633204666,-1.5802203272200261,True
United States,Minnesota,Wheat,1995,spring,183.0,591.87,3.234,98.0,122.0,13.0,3.0,0.0,20.0,5.0,1.0,0.0,34.76,75.21,84.64,85.0,20.296,9.475,14.886,1891.615,7.0,0.0,0.0,5.0,0.0,1.0,0.0,9.31,0.0,5.0,24.0,53.0,-12.98,3.0,3310.28,18.089,138.65,0.0,23.0,1087.37,27.19,204.43,0.0,0.0,1278.82,49.75,248.79,0.0,1.0,944.09,75.21,46.0,-94.0,2.152,2.634766023166023,-0.4827660231660227,-1.0747648667283995,True
United States,Oklahoma,Wheat,1995,winter,303.0,937.75,3.095,203.0,224.0,15.0,9.0,3.0,29.0,15.0,13.0,0.0,48.22,79.56,143.53,100.0,19.297,7.299,13.298,2713.06,28.0,0.0,0.0,7.0,0.0,3.0,0.0,42.43,0.0,18.0,70.0,122.0,-10.55,12.0,4337.26,14.314,297.69,0.0,10.0,1271.0,79.56,135.75,0.0,59.0,1094.45,57.77,504.31,0.0,1.0,1971.81,79.04,35.5,-97.5,1.4123,1.9478657443157417,-0.5355657443157416,-1.3205792576745536,True
United States,Oklahoma,Barley,1996,spring,183.0,691.9,3.781,105.0,125.0,17.0,4.0,1.0,22.0,10.0,6.0,0.0,41.54,84.43,116.87,78.0,29.973,17.363,23.668,3416.455,92.0,31.0,6.0,26.0,12.0,10.0,5.0,416.22,107.09,56.0,2.0,12.0,-1.45,0.0,3900.42,21.314,126.91,8.0,2.0,1341.64,40.85,272.04,23.0,0.0,1446.98,84.43,292.95,0.0,0.0,1111.8,51.74,35.5,-97.5,1.2374,2.0385309090909054,-0.8011309090909053,-2.307206688138082,True
United States,Texas,Barley,1996,spring,183.0,536.08,2.929,107.0,128.0,15.0,6.0,1.0,19.0,3.0,2.0,0.0,29.72,54.47,89.45,76.0,32.768,19.317,26.043,3850.795,140.0,67.0,7.0,74.0,20.0,9.0,5.0,670.35,161.48,87.0,0.0,4.0,0.67,0.0,4191.33,22.903,152.22,16.0,0.0,1451.53,30.37,134.4,42.0,0.0,1544.48,31.41,249.46,9.0,0.0,1195.32,54.47,31.0,-99.0,1.8292,2.1568909090909187,-0.3276909090909188,-1.0437350784606492,True
United States,Colorado,Oats,1996,spring,183.0,305.42,1.669,102.0,133.0,14.0,3.0,1.0,3.0,1.0,0.0,0.0,24.09,44.02,47.61,81.0,19.441,3.444,11.443,1298.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,91.0,-9.07,5.0,4045.24,22.105,92.18,0.0,41.0,1365.32,44.02,107.97,0.0,1.0,1496.0,18.14,105.27,0.0,7.0,1183.92,12.66,39.0,-105.5,1.8651,2.1762754679803074,-0.3111754679803074,-1.164147151417029,True
United States,Montana,Oats,1996,spring,183.0,261.61,1.43,115.0,145.0,12.0,8.0,0.0,3.0,0.0,0.0,0.0,19.38,30.85,38.64,68.0,19.891,6.206,13.048,1549.19,17.0,0.0,0.0,5.0,0.0,2.0,0.0,27.6,0.0,13.0,36.0,80.0,-4.45,7.0,3712.46,20.287,134.06,0.0,31.0,981.01,30.85,58.14,0.0,0.0,1569.38,11.81,69.41,0.0,5.0,1162.07,30.78,47.0,-110.0,1.4347,1.8849992964392968,-0.45029929643929667,-1.6381652809442193,True
United States,Texas,Oats,1996,spring,183.0,536.08,2.929,107.0,128.0,15.0,6.0,1.0,19.0,3.0,2.0,0.0,29.72,54.47,89.45,76.0,32.768,19.317,26.043,3850.795,140.0,67.0,7.0,74.0,20.0,9.0,5.0,670.35,161.48,87.0,0.0,4.0,0.67,0.0,4191.33,22.903,152.22,16.0,0.0,1451.53,30.37,134.4,42.0,0.0,1544.48,31.41,249.46,9.0,0.0,1195.32,54.47,31.0,-99.0,1.2195,1.5489525825825794,-0.32945258258257937,-1.8057626676466147,True
United States,Illinois,Wheat,1996,winter,304.0,710.2,2.336,205.0,225.0,26.0,9.0,2.0,22.0,5.0,3.0,0.0,31.53,59.69,91.06,99.0,13.069,1.395,7.232,1717.415,9.0,0.0,0.0,3.0,0.0,1.0,0.0,5.01,0.0,6.0,143.0,190.0,-26.89,13.0,3777.52,12.426,151.16,0.0,36.0,1146.35,27.04,139.06,0.0,90.0,844.86,32.29,419.98,0.0,17.0,1786.31,59.69,40.0,-89.0,2.5555,3.357479699699695,-0.8019796996996953,-1.877482198658821,True
United States,Kansas,Wheat,1996,winter,304.0,432.65,1.423,255.0,263.0,47.0,11.0,3.0,12.0,5.0,3.0,0.0,42.61,79.71,99.77,49.0,16.95,3.613,10.282,2252.44,45.0,17.0,0.0,15.0,6.0,6.0,3.0,185.99,36.57,34.0,124.0,183.0,-20.15,14.0,4501.63,14.808,83.6,4.0,23.0,1272.6,38.37,35.66,0.0,86.0,1073.17,11.73,313.39,13.0,15.0,2155.86,79.71,38.5,-98.0,1.9503,2.4885181595881605,-0.5382181595881605,-1.1777043225357562,True
United States,Oklahoma,Wheat,1996,winter,304.0,497.38,1.636,243.0,257.0,44.0,12.0,6.0,16.0,6.0,4.0,0.0,32.38,49.71,87.74,61.0,19.926,6.476,13.201,2856.4,53.0,24.0,0.0,18.0,6.0,4.0,5.0,253.95,56.6,38.0,85.0,150.0,-14.81,15.0,4946.45,16.271,187.06,6.0,13.0,1451.39,48.06,81.25,0.0,64.0,1196.96,47.86,229.07,18.0,8.0,2298.1,49.71,35.5,-97.5,1.2778,1.9590427069927046,-0.6812427069927045,-1.6797844108682416,True
United States,Texas,Wheat,1996,winter,304.0,429.12,1.412,243.0,255.0,30.0,13.0,6.0,14.0,2.0,2.0,0.0,27.19,31.41,60.04,61.0,25.244,10.276,17.76,3971.96,108.0,42.0,2.0,22.0,12.0,12.0,3.0,464.48,86.16,75.0,39.0,90.0,-7.56,9.0,5417.28,17.82,134.35,7.0,2.0,1587.18,27.06,44.57,1.0,37.0,1385.67,19.6,250.2,34.0,0.0,2444.43,31.41,31.0,-99.0,1.7485,2.01651222222222,-0.2680122222222199,-1.1582744014994317,True
United States,North Dakota,Barley,1997,spring,183.0,295.06,1.612,136.0,151.0,14.0,7.0,2.0,5.0,2.0,2.0,0.0,34.63,63.24,64.98,47.0,22.527,8.791,15.659,2090.395,28.0,2.0,0.0,5.0,2.0,6.0,0.0,60.86,0.36,19.0,22.0,50.0,-20.31,4.0,3787.18,20.695,98.08,0.0,22.0,1231.66,63.24,153.21,0.0,0.0,1451.5,51.06,43.77,2.0,0.0,1104.02,12.94,47.5,-100.5,2.421,2.83226297297297,-0.41126297297297,-1.1488840075422557,True
United States,North Dakota,Oats,1997,spring,183.0,295.06,1.612,136.0,151.0,14.0,7.0,2.0,5.0,2.0,2.0,0.0,34.63,63.24,64.98,47.0,22.527,8.791,15.659,2090.395,28.0,2.0,0.0,5.0,2.0,6.0,0.0,60.86,0.36,19.0,22.0,50.0,-20.31,4.0,3787.18,20.695,98.08,0.0,22.0,1231.66,63.24,153.21,0.0,0.0,1451.5,51.06,43.77,2.0,0.0,1104.02,12.94,47.5,-100.5,1.5782,1.9664893093093028,-0.3882893093093027,-1.0379475468137331,True
United States,Minnesota,Wheat,1997,spring,183.0,479.92,2.623,110.0,133.0,20.0,3.0,1.0,16.0,4.0,1.0,0.0,25.97,44.84,65.83,73.0,20.405,9.124,14.765,1866.225,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.21,0.0,0.0,23.0,53.0,-12.63,4.0,3470.37,18.964,62.56,0.0,23.0,1182.89,16.16,266.78,0.0,0.0,1315.4,44.84,150.58,0.0,0.0,972.08,32.09,46.0,-94.0,2.152,2.748759459459464,-0.5967594594594638,-1.3285444089637062,True
